Timestamp,Is Buy,Account Trade Price,Market Trade Price,Nr Successfully cycles,Initial Value [$],Current Value (Position),Position Profit [$],Position Profit [%]
0,False,0.4151349999999999,0.40893,0,50,49.99144254278729,0.9998288508557458,0.9998288508557458
0,False,0.4151349999999999,0.40922,0,50,50.02689486552567,1.0005378973105135,1.0005378973105135
0,True,0.409,0.40928,0,50,50,0,1.0
0,True,0.409,0.41001,0,50,50,0,1.0
0,True,0.409,0.41079,0,50,50,0,1.0
0,True,0.409,0.41153,0,50,50,0,1.0
0,True,0.409,0.41088,0,50,50,0,1.0
0,True,0.409,0.41076,0,50,50,0,1.0
0,False,0.41716499999999995,0.40951,0,50,49.818734793187346,-0.1812652068126539,99.63746958637469
0,False,0.41716499999999995,0.40924,0,50,49.78588807785888,-0.21411192214112162,99.57177615571776
0,False,0.41716499999999995,0.40909,0,50,49.7676399026764,-0.23236009732359975,99.5352798053528
0,False,0.41716499999999995,0.40934,0,50,49.798053527980535,-0.2019464720194648,99.59610705596107
0,False,0.41716499999999995,0.40963,0,50,49.833333333333336,-0.1666666666666643,99.66666666666667
0,False,0.41716499999999995,0.40926,0,50,49.78832116788321,-0.21167883211678884,99.57664233576642
0,False,0.41716499999999995,0.40946,0,50,49.81265206812652,-0.1873479318734823,99.62530413625304
0,False,0.41716499999999995,0.40902,0,50,49.75912408759124,-0.24087591240876094,99.51824817518248
0,False,0.41716499999999995,0.40948,0,50,49.81508515815085,-0.18491484184914952,99.6301703163017
0,False,0.41716499999999995,0.40976,0,50,49.84914841849149,-0.15085158150851186,99.69829683698298
0,False,0.41716499999999995,0.40972,0,50,49.84428223844282,-0.15571776155717743,-0.3114355231143562
0,False,0.41716499999999995,0.4096,0,50,49.82968369829684,-0.17031630170315992,-0.3406326034063212
0,False,0.41716499999999995,0.40961,0,50,49.830900243309,-0.16909975669099708,-0.33819951338199816
0,False,0.41716499999999995,0.40997,0,50,49.87469586374696,-0.1253041362530425,-0.250608272506081
0,False,0.41716499999999995,0.40988,0,50,49.86374695863747,-0.13625304136252936,-0.2725060827250547
2021-02-07 17:52:54.858779,False,0.41716499999999995,0.4094,0,50,49.805352798053526,-0.19464720194647356,-0.389294403892948
2021-02-07 17:53:05.953571,False,0.41716499999999995,0.40926,0,50,49.78832116788321,-0.21167883211678884,-0.42335766423358123
2021-02-07 18:19:24.553433,True,0.415,0.41607,0,100,0,-100,-100.0
2021-02-07 18:19:30.911571,True,0.415,0.41621,0,100,0,-100,-100.0
2021-02-07 18:19:37.118466,True,0.415,0.41597,0,100,0,-100,-100.0
2021-02-07 18:19:43.950681,True,0.415,0.4157,0,100,0,-100,-100.0
2021-02-07 18:21:28.104423,True,0.415,0.41651,0,100,100,0,0.0
2021-02-07 18:21:34.113121,True,0.415,0.41699,0,100,100,0,0.0
2021-02-07 18:22:31.293376,True,0.415,0.41851,0,100,100,0,0.0
2021-02-07 18:24:09.871160,True,0.415,0.41909,0,100,100,0,0.0
2021-02-07 18:24:32.887073,True,0.415,0.41944,0,100,100,0,0.0
2021-02-07 18:24:43.073560,True,0.415,0.41941,0,100,100,0,0.0
2021-02-07 18:24:53.088195,True,0.415,0.4193,0,100,100,0,0.0
2021-02-07 18:25:16.110125,True,0.418,0.41947,0,100,100,0,0.0
